course_code,prerequisites,group_id
MA3002,MA2001,prereq_group_642
MA3004,MH1810|MH1811,prereq_group_643
MA3004,CY1602,prereq_group_644
MA3004,MH2810,prereq_group_645
MA3005,MA2006,prereq_group_646
MA3010,MA2003,prereq_group_647
MA4001,MA3001,prereq_group_648
MA4811,MA3003,prereq_group_649
MA4858,MA2013|MA2014,prereq_group_650
MA4011,MA3001,prereq_group_651
MA4012,MA3001,prereq_group_652
HY3022,HY2003,prereq_group_653
HS2001,HS1001,prereq_group_654
PH2103,MH1803|MH2802|PH1104,prereq_group_655
PH2103,CY1308|CY1601|CY1602,prereq_group_656
PH2103,MH1101|MH1200,prereq_group_657
PH2198,PH1198,prereq_group_658
PH3101,MH2801|PH2101,prereq_group_659
PH3403,PH1107|PH2101|PH2103,prereq_group_660
PH4402,PH3102|PH3201,prereq_group_661
PH4403,PH3102,prereq_group_662
PH4408,PH3101,prereq_group_663
PH3102,PH1105|PH2101|PH2103,prereq_group_664
PH3199,PH2198|PH2199,prereq_group_665
PH3399,PH2198|PH2199,prereq_group_666
HS2008,HS1001,prereq_group_667
HS2009,HS1001,prereq_group_668
HS2011,HS1001,prereq_group_669
HS3001,HS1001|HS2001|HS2002,prereq_group_670
HS3002,HS1001|HS2002|HS2004,prereq_group_671
HS3002,HS1001|HS2001|HS2002,prereq_group_672
HS3007,HS1001|HS2001|HS2002,prereq_group_673
HS3007,HS1001|HS2001|HS2002,prereq_group_674
HS3007,HS1001|HS2001|HS2004,prereq_group_675
HS3007,HS1001|HS2002|HS2004,prereq_group_676
HS3015,HS1001|HS2001|HS2002,prereq_group_677
HS3015,HS1001|HS2001|HS2004,prereq_group_678
HS3015,HS1001|HS2001|HS2004,prereq_group_679
HS3015,HS1001|HS2002|HS2004,prereq_group_680
HS4001,HS1001|HS2002,prereq_group_681
