course_code,prerequisites,group_id
BM3501,AB1501,prereq_group_558
BM3508,AB1501,prereq_group_559
BR3214,BR2211,prereq_group_560
CH2112,CH1104|MH1810,prereq_group_561
CE2100,MH1810,prereq_group_562
SC1015,SC1003,prereq_group_563
SC2103,SC1005,prereq_group_564
CE3103,CE2107,prereq_group_565
CE4013,CE2005|CE3005,prereq_group_566
CE4052,CE1104,prereq_group_567
CE4067,CE2002|CE2005,prereq_group_568
CE4123,CZ2007,prereq_group_569
CE4171,CE3005,prereq_group_570
CE4172,CE2107,prereq_group_571
SC3050,SC1006,prereq_group_572
SC3103,SC2107,prereq_group_573
SC4000,SC1004|SC1007|SC2000,prereq_group_574
SC4003,SC1007|SC2000,prereq_group_575
SC4012,SC2002|SC2005,prereq_group_576
SC4015,SC1006,prereq_group_577
SC4021,SC2001,prereq_group_578
SC4023,SC2207,prereq_group_579
SC4031,SC2008,prereq_group_580
SC4051,SC2005|SC2008,prereq_group_581
SC4054,SC1007|SC2000,prereq_group_582
SC3010,SC2005,prereq_group_583
CV2012,CV2011,prereq_group_584
CV2014,CV2013,prereq_group_585
CV3012,CV2011,prereq_group_586
CV4111,CV2014,prereq_group_587
CV4113,CV3014,prereq_group_588
CV4120,CV3011,prereq_group_589
EN2003,CV1012,prereq_group_590
EN4104,CV2020,prereq_group_591
MH1804,MH1802,prereq_group_592
CM3061,CM2061,prereq_group_593
PS0002,PS0001,prereq_group_594
CM4011,CM2011|CM2062|CM3062,prereq_group_595
CM4013,CM2011|CM2062|CM3062,prereq_group_596
CM4021,CM3021,prereq_group_597
CM4031,CM3031,prereq_group_598
CM4033,CM3021|CM3031,prereq_group_599
CM4042,CM3041,prereq_group_600
CM4054,CM2041|PH1801,prereq_group_601
HC1051,HC1002,prereq_group_602
HC2014,HC1001,prereq_group_603
HC2040,HC2005,prereq_group_604
HC2017,HC1001,prereq_group_605
HL1005,HL1001,prereq_group_606
HS2007,HS1001,prereq_group_607
HC4042,HC2005,prereq_group_608
HC4057,HC1002,prereq_group_609
HL1003,HL1001,prereq_group_610
HL1006,HL1001,prereq_group_611
HL2005,HL1001,prereq_group_612
HL2006,HL1001,prereq_group_613
HL2007,HL1001,prereq_group_614
HL2015,HL1001,prereq_group_615
HL2021,HL1001,prereq_group_616
HL2029,HL1001,prereq_group_617
HL2032,HL1001,prereq_group_618
HL2046,HL1001,prereq_group_619
HL3045,HL1001,prereq_group_620
HL3003,HL1001,prereq_group_621
